input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Wisner', 'Life and (un)Death', 'How We Built a Jukebox Island!', 'Roger Slykhouse, Mario Corsetti', 'If you\'re attending this convention, you\'ve already heard of Burning Man. But have you heard of Lakes of Fire? It\'s our regional Burning Man event that demands awesome things. We built a 24\' by 30\' floating platform that became a venue for a rockin\' afternoon party and spectacle of light at night (well, almost). Now that the hard part is out of the way in 2012, we\'re working on plans to add on for 2013. The overall theme for the 4-day event is ""superstition"" and the possibilities are many. Come and hear about what a theme camp is and how we conceived, designed, built, and partied on a floating platform in the middle of a lake. You may be motivated to build your own theme camp for Burning Man or Lakes of Fire, or you can get your feet wet helping with this one!', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,"Roger Slykhouse, Mario Corsetti"
speakerlist,"['Roger Slykhouse', 'Mario Corsetti']"
hours,0
totalminutes,50
caldescrip,"If you're attending this convention, you've already heard of Burning Man. But have you heard of Lakes of Fire? It's our regional Burning Man event that demands awesome things. We built a 24' by 30' floating platform that became a venue for a rockin' afternoon party and spectacle of light at night (well, almost). Now that the hard part is out of the way in 2012, we're working on plans to add on for 2013. The overall theme for the 4-day event is 'superstition' and the possibilities are many. Come and hear about what a theme camp is and how we conceived, designed, built, and partied on a floating platform in the middle of a lake. You may be motivated to build your own theme camp for Burning Man or Lakes of Fire, or you can get your feet wet helping with this one!"
endtime,16:50
name,How We Built a Jukebox Island!
Private,PUBLIC
venue,Wisner
Book Description,"If you're attending this convention, you've already heard of Burning Man. But have you heard of Lakes of Fire? It's our regional Burning Man event that demands awesome things. We built a 24' by 30' floating platform that became a venue for a rockin' afternoon party and spectacle of light at night (well, almost). Now that the hard part is out of the way in 2012, we're working on plans to add on for 2013. The overall theme for the 4-day event is ""superstition"" and the possibilities are many. Come and hear about what a theme camp is and how we conceived, designed, built, and partied on a floating platform in the middle of a lake. You may be motivated to build your own theme camp for Burning Man or Lakes of Fire, or you can get your feet wet helping with this one!"
Presenters,"Roger Slykhouse, Mario Corsetti"
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,General Events
All Day Event,FALSE
event_end,19:50
endday,4/26/13
private,PUBLIC
endtimeampm,7 PM
Location,Centerpoint
duration,3 hours and 50 minutes
description,"Stop by the Paint 'N Take to practice your mini-figure artisanship. Our experts will guide you in painting and preserving techniques to produce your RPG, tabletop game, or souvenir figure to perfection. Please note, figures will be available for $5 during these sessions."
index,5
speakers,Dean and Linda
Track,General Events
startday,4/26/13
Title,Paint 'N Take I
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,19:50
tracknosp,GeneralEvents
input,"['4/26/13', '16:00', '4/26/13', '19:50', 'Centerpoint', 'General Events', ""Paint 'N Take I"", 'Dean and Linda', ""Stop by the Paint 'N Take to practice your mini-figure artisanship. Our experts will guide you in painting and preserving techniques to produce your RPG, tabletop game, or souvenir figure to perfection. Please note, figures will be available for $5 during these sessions."", 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,Dean and Linda
speakerlist,['Dean and Linda']
hours,3
totalminutes,230
caldescrip,"Stop by the Paint 'N Take to practice your mini-figure artisanship. Our experts will guide you in painting and preserving techniques to produce your RPG, tabletop game, or souvenir figure to perfection. Please note, figures will be available for $5 during these sessions."
endtime,19:50
name,Paint 'N Take I
Private,PUBLIC
venue,Centerpoint
Book Description,"Stop by the Paint 'N Take to practice your mini-figure artisanship. Our experts will guide you in painting and preserving techniques to produce your RPG, tabletop game, or souvenir figure to perfection. Please note, figures will be available for $5 during these sessions."
Presenters,Dean and Linda
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Life and (un)Death
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Featherstone
duration,50 minutes
description,"Come discuss and learn about different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone."
index,6
speakers,Shetan Noir
Track,Life and (un)Death
startday,4/26/13
Title,Acts of Shameless Self-Promoting
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,LifeandunDeath
input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Featherstone', 'Life and (un)Death', 'Acts of Shameless Self-Promoting', 'Shetan Noir', 'Come discuss and learn about different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,Shetan Noir
speakerlist,['Shetan Noir']
hours,0
totalminutes,50
caldescrip,"Come discuss and learn about different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone."
endtime,16:50
name,Acts of Shameless Self-Promoting
Private,PUBLIC
venue,Featherstone
Book Description,"Come discuss and learn about different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone."
Presenters,Shetan Noir
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Literature
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Baldwin
duration,50 minutes
description,"This panel will be a discussion of the nuts and bolts of starting a story. Topics will include idea generation, the difference between an idea and a plot, outlining and other forms of story planning, and time management for writers."
index,7
speakers,"Michael Cieslak, Laura Resnick"
Track,Literature
startday,4/26/13
Title,Where do the Ideas Come From?
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,Literature
input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Baldwin', 'Literature', 'Where do the Ideas Come From?', 'Michael Cieslak, Laura Resnick', 'This panel will be a discussion of the nuts and bolts of starting a story. Topics will include idea generation, the difference between an idea and a plot, outlining and other forms of story planning, and time management for writers.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,"Michael Cieslak, Laura Resnick"
speakerlist,"['Michael Cieslak', 'Laura Resnick']"
hours,0
totalminutes,50
caldescrip,"This panel will be a discussion of the nuts and bolts of starting a story. Topics will include idea generation, the difference between an idea and a plot, outlining and other forms of story planning, and time management for writers."
endtime,16:50
name,Where do the Ideas Come From?
Private,PUBLIC
venue,Baldwin
Book Description,"This panel will be a discussion of the nuts and bolts of starting a story. Topics will include idea generation, the difference between an idea and a plot, outlining and other forms of story planning, and time management for writers."
Presenters,"Michael Cieslak, Laura Resnick"
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Literature
All Day Event,FALSE
event_end,16:50
endday,4/26/13
private,PUBLIC
endtimeampm,4 PM
Location,Salon B
duration,50 minutes
description,"Are SF writers missing—or worse yet, ignoring—current science in their fiction? There are numerous technological developments on the horizon that will determine how humans (and trans-humans) will live in the very near future. How will our lives change and what can we expect to see from writers who are getting it right?"
index,8
speakers,Jonathan Stars
Track,Literature
startday,4/26/13
Title,Where's the Science?
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,16:50
tracknosp,Literature
input,"['4/26/13', '16:00', '4/26/13', '16:50', 'Salon B', 'Literature', ""Where's the Science?"", 'Jonathan Stars', 'Are SF writers missing\xe2\x80\x94or worse yet, ignoring\xe2\x80\x94current science in their fiction? There are numerous technological developments on the horizon that will determine how humans (and trans-humans) will live in the very near future. How will our lives change and what can we expect to see from writers who are getting it right?', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,Jonathan Stars
speakerlist,['Jonathan Stars']
hours,0
totalminutes,50
caldescrip,"Are SF writers missing—or worse yet, ignoring—current science in their fiction? There are numerous technological developments on the horizon that will determine how humans (and trans-humans) will live in the very near future. How will our lives change and what can we expect to see from writers who are getting it right?"
endtime,16:50
name,Where's the Science?
Private,PUBLIC
venue,Salon B
Book Description,"Are SF writers missing—or worse yet, ignoring—current science in their fiction? There are numerous technological developments on the horizon that will determine how humans (and trans-humans) will live in the very near future. How will our lives change and what can we expect to see from writers who are getting it right?"
Presenters,Jonathan Stars
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,BoF
